videos	dish	other_names	kept_video	kept_title	other_videos
2	ساندوتشات سجق		lF6oypzBeZg	ساندوتشات سجق الشارع بطريقتي 😋😉 شوفو الولاد عملو ايه في اخر الفيديو 🙈😅 #فاطمه_اب	b0M1cPJa_7A
2	كشري الحلة الواحدة		0Fw45SsyO1Q	الكشري الخطير من غير مواعين كتير و تحدي .. 😅😉 ( كشري الحله الواحده )	G_3u5HrPcfU
2	برياني الدجاج		b4KH-IzwQ5U	برياني الدجاج بأسهل طريقه والطعم حكايه هاتشوفيه هاتقومي علي طول تعمليه😋😋فاطمه اب	JtiffbH2f4g
2	بيتزا بدون عجن ولا فرن		DZycYgtozXQ	بيتزا العشر دقايق 🙈بدون عجن ولاتخمير ولا فرن اعملي أحلي بيتزا والكل هايقول تسلم 	VdTadeHt420
2	سحلب		yDuHaQGwWc0	المشروب الرسمي للشتا ⛄☔ السحلب بكل التفاصيل 😋😉 من مطبخي - فاطمه ابو حاتي 😍	yg9xbSMOHgo
2	كاساديا الفراخ		RcvRTvc8QOo	في ربع ساعه اعملي أحلي غدوه😋كساديا الفراخ من مطبخي فاطمه ابو حاتي	8JNAte-YHeU
2	معمول		G0laI-O-Kek	المعموله بطريقة ومقادير سهله جداً والنتيجة مبهره👏👏 - فاطمه ابوحاتي	ITQ6NF9hZvk
2	بقلاوة		ZIQDLOW8vx0	بلفة جلاش واحده اعملي كيلو و نص بقلاوه احلي من الجاهزه 😋💪🏻 من مطبخي #فاطمه_ابو_ح	hDnCVF02rnw
2	بسكويت سادة	بسكويت السعادة	mejt_HGM2Ms	بسكويت العيد الفاخر الساده و الشيكولاته بكل اسراره و تكات في الخبز و العجن و كما	FVYdSWNsrko
2	ستربس سمك	استربس السمك	MhF82k76K9M	اللي مش بياكل السمك هايعشقه من الوصفه دي♥️استربس السمك بطريقة سهلة جداً وطعم رهي	3FAme1M6M80
2	سندوتشات	ساندوتشات	gCejnOq6LFM	من غير وقت طويل في المطبخ، حضري أحلى ساندوتشات وناجتس ذهبية تخلي كل لمة أحلى 😍🍔	qkTLQ9c0J50
2	فخدة ضاني	فخدة الضأن	gPfHxwTcdt0	يالا نعمل ملكة الأعياد بكل تفاصيلها ومتخافيش هتدوب فى البوق	ir29Riy-uW0
2	كفتة محشية	كفتة مشوية	gcNedA7qZQ4	مفيش اطعم ولا احلى من الطبق ده ينور سفرتك فى اى عزومه ..كفته محشيه وارز خطير👌 اح	QdK712MxodI
2	ساندوتش كفتة	ساندوتشات كفتة	tIP8Ey2_2yU	سندوتش الكفتة الترند بسلاطاته وطحيناته .. اللى جنن كل الناس وخلاها تقف بالساعات 	LbIU1hzCe6k
2	بسكويت اللانشكير	بسكويت اللانكشير	56eG1oOvpOs	بسكويت اللانشكير 😋😍 بسكوت طعمه رهيب حرفيًا وبمقادير سهلة وبسيطة | فاطمة أبو حاتي	LcQQvlXzawM
2	رز معمر باللحمة	رز معمر على الفحم	Ah-pqixnTFY	أحلي ارز معمر باللحمه 🥰من مطبخي#فاطمه_ابوحاتي	I9Qx_9FZN3A
